,code,title,points_r1,points_r2,points_r1_info,points_r2_info
189,DB521,Accounting and Finance,271.0,271.0,,
190,DB524,Business Information Systems,402.0,402.0,,
191,DB525,Marketing (Digital Media and Cloud Computing),309.0,309.0,,
192,DB526,Business Information Systems (Cloud Computing),288.0,288.0,,
193,DB527,Applied Social Care,288.0,288.0,,
194,DB531,Marketing,288.0,288.0,,
195,DB562,Psychology,310.0,310.0,,
196,DB566,Social Science,308.0,308.0,,
197,DB567,Film,295.0,295.0,,
198,DB568,Law,308.0,308.0,,
199,DB569,Business (Psychology),338.0,338.0,,
200,DC001,Education - Early Childhood Education,424.0,424.0,,
201,DC002,Education - Primary Teaching,485.0,485.0,Randomly Selected,Randomly Selected
202,DC003,Education - Primary Teaching - Gaeltacht Applicants,473.0,473.0,Test/Portfolio,Test/Portfolio
203,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),,,Test/Portfolio,Test/Portfolio
204,DC005,Education - Primary Teaching - Irish Sign Language,316.0,316.0,Test/Portfolio,Test/Portfolio
205,DC009,Arts (Joint Honours) - Humanities,408.0,408.0,,
206,DC010,Post Primary Teacher Education - Religious Education and English,413.0,413.0,,
207,DC011,Post Primary Teacher Education - Religious Education and History,389.0,389.0,,
208,DC012,Post Primary Teacher Education - Religious Education and Music,415.0,415.0,Test/Portfolio,Test/Portfolio
209,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,509.0,509.0,,
210,DC014,BA in Jazz and Contemporary Music Performance,590.0,590.0,Test/Portfolio,Test/Portfolio
211,DC110,Business Studies International,462.0,462.0,,
212,DC111,Business Studies,479.0,479.0,,
213,DC112,Global Business (France),510.0,510.0,,
214,DC113,Global Business (Germany),476.0,476.0,,
215,DC114,Global Business (Spain),543.0,543.0,,
216,DC115,Accounting and Finance,500.0,500.0,,
217,DC116,Global Business (USA),589.0,589.0,,
218,DC117,Aviation Management / Aviation Management with Pilot Studies,487.0,487.0,,
219,DC118,Gnó agus Gaeilge / Business and Irish,399.0,399.0,,
220,DC119,Global Business (Canada),577.0,577.0,,
221,DC120,Enterprise Computing,389.0,389.0,,
222,DC121,Computer Applications,418.0,418.0,,
223,DC123,Data Science,511.0,511.0,,
224,DC126,Actuarial Mathematics,543.0,543.0,,
225,DC127,Common Entry into Actuarial and Financial Mathematics,531.0,531.0,,
226,DC131,Communication Studies,441.0,441.0,,
227,DC132,Journalism,440.0,440.0,,
228,DC133,Multimedia,451.0,451.0,,
229,DC155,Applied Language and Translation Studies,430.0,430.0,,
230,DC161,Analytical Science,463.0,463.0,,
231,DC162,Chemical and Pharmaceutical Sciences,498.0,498.0,,
232,DC166,Environmental Science and Technology,442.0,442.0,,
233,DC167,Physics with Astronomy,477.0,477.0,,
234,DC168,Genetics and Cell Biology,500.0,500.0,,
235,DC171,Applied Physics,433.0,433.0,,
236,DC173,Physics with Biomedical Sciences,458.0,458.0,,
237,DC181,Biotechnology,488.0,488.0,,
238,DC190,Electronic and Computer Engineering (with choice of four majors),433.0,433.0,,
239,DC193,Mechatronic Engineering,445.0,445.0,,
240,DC195,Mechanical and Manufacturing Engineering,444.0,444.0,,
241,DC197,Biomedical Engineering,446.0,446.0,,
242,DC200,Common Entry into Engineering (Undenominated Entry),444.0,444.0,,
243,DC201,Common Entry into Science (Undenominated Entry),477.0,477.0,,
244,DC202,Sport Science and Health,476.0,476.0,,
245,DC203,Science Education,476.0,476.0,,
246,DC204,Athletic Therapy and Training,500.0,500.0,,
247,DC205,Physical Education with Biology,521.0,521.0,,
248,DC206,Physical Education with Mathematics,476.0,476.0,,
249,DC208,Psychology,521.0,521.0,,
250,DC209,Health and Society,440.0,440.0,,
251,DC215,General Nursing,443.0,443.0,,
252,DC216,Mental Health Nursing,389.0,389.0,,
253,DC217,Intellectual Disability Nursing,362.0,362.0,,
254,DC218,Children`s and General Nursing (Integrated),480.0,480.0,,
255,DC230,"Economics, Politics and Law",431.0,431.0,,
256,DC231,International Relations,445.0,445.0,,
257,DC232,Law and Society (BCL),487.0,487.0,,
258,DC235,Education and Training - Daytime Delivery Mode (full-time),327.0,327.0,,
259,DC238,Social Sciences and Cultural Innovation,388.0,388.0,,
260,DC240,"Marketing, Innovation and Technology",474.0,474.0,,
261,DC291,Arts (Joint Honours) - Media Studies,392.0,392.0,,
262,DC292,Arts (Joint Honours) - Law,388.0,388.0,,
263,DC293,Arts (Joint Honours) - International Languages,400.0,400.0,,
264,DC295,Arts (Joint Honours) - Politics,387.0,387.0,,
265,DT001,Product Design,464.0,464.0,,
266,DT028,Transport Operations and Technology,348.0,348.0,,
267,DT035,Electrical Services and Energy Management,340.0,340.0,,
268,DT066,Engineering (General Entry),457.0,457.0,,
269,DT101,Architecture (test and interview),647.0,647.0,Test/Portfolio,Test/Portfolio
270,DT106,Planning and Environmental Management,337.0,337.0,,
271,DT110,Property Economics (Valuation Surveying),424.0,424.0,,
272,DT111,Quantity Surveying and Construction Economics,421.0,421.0,,
273,DT112,Geographic Science,335.0,335.0,,
274,DT117,Construction Management,373.0,373.0,,
275,DT175,Architectural Technology,425.0,425.0,,
276,DT201,Science (General Entry),477.0,477.0,,
277,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),403.0,403.0,,
278,DT204,Biomedical Science,512.0,512.0,,
279,DT205,Mathematical Sciences,363.0,363.0,,
280,DT206,Biomedical and Molecular Diagnostics,487.0,487.0,,
281,DT211,Computer Science (Infrastructure),414.0,414.0,,
282,DT220,Industrial Mathematics,317.0,317.0,,
283,DT221,Physics with Energy and Environment,436.0,436.0,,
284,DT222,Physics Technology,371.0,371.0,,
285,DT223,Human Nutrition and Dietetics,566.0,566.0,,
286,DT224,Optometry,529.0,529.0,,
287,DT225,Public Health Nutrition,476.0,476.0,,
288,DT227,Science with Nanotechnology,361.0,361.0,,
289,DT228,Computer Science,466.0,466.0,,
290,DT229,Clinical Measurement Science,509.0,509.0,,
291,DT235,Physics with Medical Physics and Bioengineering,403.0,403.0,,
292,DT282,Computer Science (International),402.0,402.0,,
293,DT299,Chemical Sciences with Medicinal Chemistry,445.0,445.0,,
294,DT302,Business Analytics,403.0,403.0,,
295,DT304,E-Commerce in Retailing,388.0,388.0,,
296,DT321,Business and Law,478.0,478.0,,
297,DT341,Marketing,419.0,419.0,,
298,DT343,Retail and Services Management,332.0,332.0,,
299,DT354,Business Computing,341.0,341.0,,
300,DT358,Logistics and Supply Chain Management,359.0,359.0,,
301,DT365,Business and Management,456.0,456.0,,
302,DT366,Accounting and Finance,454.0,454.0,,
303,DT398,Human Resource Management,388.0,388.0,,
304,DT399,Economics and Finance,465.0,465.0,,
305,DT401,International Hospitality Management,337.0,337.0,,
306,DT405,Culinary Science,377.0,377.0,,
307,DT407,Culinary Arts,342.0,342.0,,
308,DT412,Tourism Marketing,322.0,322.0,,
309,DT413,Event Management,389.0,389.0,,
310,DT416,Culinary Entrepreneurship,339.0,339.0,,
311,DT420,Nutraceuticals in Health and Nutrition,432.0,432.0,,
312,DT421,Food Innovation,366.0,366.0,,
313,DT422,Pharmaceutical Healthcare,423.0,423.0,,
314,DT491,Environmental Health,380.0,380.0,,
315,DT501,Music,520.0,520.0,Test/Portfolio,Test/Portfolio
316,DT504,Film and Broadcasting,467.0,467.0,,
317,DT506,Commercial Modern Music,835.0,835.0,Test/Portfolio,Test/Portfolio
318,DT508,Game Design,454.0,454.0,,
319,DT517,Languages and English Studies,419.0,419.0,,
320,DT518,Languages and International Tourism,357.0,357.0,,
321,DT529,Drama (Performance),519.0,519.0,Test/Portfolio,Test/Portfolio
322,DT532,Law (LL.B.),441.0,441.0,,
323,DT533,Contemporary Visual Culture,,,Test/Portfolio,Test/Portfolio
324,DT544,Interior Design,866.0,866.0,Test/Portfolio,Test/Portfolio
325,DT545,Design - Visual Communication,897.0,897.0,Test/Portfolio,Test/Portfolio
326,DT546,Fine Art,813.0,813.0,Test/Portfolio,Test/Portfolio
327,DT555,International Business and Languages,399.0,399.0,,
328,DT559,Photography,926.0,926.0,Test/Portfolio,Test/Portfolio
329,DT571,Social Care,424.0,424.0,,
330,DT572,Early Childhood Education,403.0,403.0,,
331,DT582,Journalism,373.0,373.0,,
332,DT596,Print Media Technology and Management,311.0,311.0,,
333,DT597,Creative and Cultural Industries,369.0,369.0,,
334,DL821,"English, Media and Cultural Studies",317.0,317.0,,
335,DL822,Arts Management,319.0,319.0,,
336,DL823,Business Studies - Entrepreneurship and Management,316.0,316.0,,
337,DL825,Applied Psychology,413.0,413.0,,
338,DL826,Visual Communication Design,989.0,989.0,Test/Portfolio,Test/Portfolio
339,DL827,Art,902.0,902.0,Test/Portfolio,Test/Portfolio
340,DL828,"3D Design, Modelmaking and Digital Art",866.0,866.0,Test/Portfolio,Test/Portfolio
341,DL829,Design for Stage and Screen (Costume Design),1021.0,1021.0,Test/Portfolio,Test/Portfolio
342,DL830,Design for Stage and Screen (Makeup Design),953.0,953.0,Test/Portfolio,Test/Portfolio
343,DL831,Design for Stage and Screen (Production Design),1073.0,1073.0,Test/Portfolio,Test/Portfolio
344,DL832,Animation,1055.0,1055.0,Test/Portfolio,Test/Portfolio
345,DL833,Photography,791.0,791.0,Test/Portfolio,Test/Portfolio
346,DL834,Film and Television Production,1011.0,1011.0,Test/Portfolio,Test/Portfolio
347,DL835,Creative Media Technologies,289.0,289.0,,
348,DL836,Creative Computing,326.0,326.0,,
349,DL837,New Media Studies,349.0,349.0,,
350,DL838,Creative Music Production,873.0,873.0,Test/Portfolio,Test/Portfolio
351,GC200,Business Studies (Cork),359.0,359.0,,
352,GC201,Accounting and Finance (Cork),388.0,388.0,,
353,GC230,Computing Science (Cork),327.0,327.0,,
354,GC300,Business Studies (Limerick),302.0,302.0,,
355,GC301,Accounting and Finance,314.0,314.0,,
356,GC302,"Business Studies - (HRM, Limerick)",269.0,269.0,,
357,GC305,International Hospitality Management (Limerick),327.0,327.0,,
358,GC400,Business Studies (Dublin),297.0,297.0,,
359,GC401,Accounting and Finance (Dublin),309.0,309.0,,
360,GC402,"Business Studies (HRM, Dublin)",290.0,290.0,,
361,GC403,Law (Dublin),308.0,308.0,,
362,GC405,International Hospitality Management (Dublin),272.0,272.0,,
363,GC407,"Business Studies (Marketing, Dublin)",330.0,330.0,,
364,GC430,Computing Science (Dublin),269.0,269.0,,
365,GC450,Journalism and Visual Media (Dublin),307.0,307.0,,
366,GC462,Design Communication (Dublin),,,,
367,GC489,Interior Architecture (Dublin),361.0,361.0,Test/Portfolio,Test/Portfolio
368,GC494,Fashion Design (Dublin),,,Test/Portfolio,Test/Portfolio
369,ID001,Accounting and Finance,291.0,291.0,,
370,ID002,Business Studies,366.0,366.0,,
371,ID003,Business Studies with Chinese,,,,
372,BN101,Business,289.0,289.0,,
373,BN103,Business and Information Technology,290.0,290.0,,
374,BN104,Computing (Information Technology),293.0,293.0,,
375,BN107,Applied Social Studies in Social Care,328.0,328.0,,
376,BN108,Engineering (Common Entry with Award options),318.0,318.0,,
377,BN109,Business (Common Entry with Award options),279.0,279.0,,
378,BN110,International Business,308.0,308.0,,
379,BN111,Sports Management and Coaching,298.0,298.0,,
380,BN112,Creative Digital Media,329.0,329.0,,
381,BN113,Horticulture,321.0,321.0,,
382,BN114,Accounting and Finance,332.0,332.0,,
383,BN115,Community and Youth Development,298.0,298.0,,
384,BN117,Computer Engineering in Mobile Systems,311.0,311.0,,
385,BN118,Early Childhood Care and Education,320.0,320.0,,
386,BN119,Digital Marketing,308.0,308.0,,
387,BN120,Digital Forensics and Cyber Security,326.0,326.0,,
388,BN121,Mechatronic Engineering,340.0,340.0,,
389,BN123,"Design,Technology and Innovation",318.0,318.0,,
390,TA022,Creative Digital Media,318.0,318.0,,
391,TA023,Advertising and Marketing Communications,299.0,299.0,,
392,TA024,Early Childhood Care and Education,307.0,307.0,,
393,TA025,Social Care Practice,297.0,297.0,,
394,TA026,International Hospitality and Tourism Management,269.0,269.0,,
395,TA027,Botanical Cuisine,273.0,273.0,,
396,TA028,Digital Marketing Technologies,313.0,313.0,,
397,TA121,Accounting and Finance,328.0,328.0,,
398,TA122,Management,297.0,297.0,,
399,TA123,Marketing Management,284.0,284.0,,
400,TA125,International Business,300.0,300.0,,
401,TA221,Electronic Engineering,321.0,321.0,,
402,TA222,Mechanical Engineering,302.0,302.0,,
403,TA223,Sustainable Energy Engineering,305.0,305.0,,
404,TA224,Biomedical Design,324.0,324.0,,
405,TA225,Automation Engineering,288.0,288.0,,
406,TA226,Engineering Software,304.0,304.0,,
407,TA321,Pharmaceutical Science,298.0,298.0,,
408,TA322,Computing,294.0,294.0,,
409,TA323,Computing with IT Management,309.0,309.0,,
410,TA326,DNA and Forensic Analysis,362.0,362.0,,
411,TA327,Sports Science and Health,381.0,381.0,,
412,TA328,Computing with Language (French/German/Spanish),317.0,317.0,,
413,TA329,Computing with Data Analytics,296.0,296.0,,
414,AD101,First Year Art & Design (Common Entry),,,Test/Portfolio,Test/Portfolio
415,AD102,Graphic Design and Moving Image Design,,,Test/Portfolio,Test/Portfolio
416,AD103,Textile & Surface Design and Jewellery & Objects,,,Test/Portfolio,Test/Portfolio
417,AD202,Education & Design or Fine Art (Second Level Teaching),,,Test/Portfolio,Test/Portfolio
418,AD204,Fine Art,,,Test/Portfolio,Test/Portfolio
419,AD211,Fashion Design,,,Test/Portfolio,Test/Portfolio
420,AD212,Product Design,,,Test/Portfolio,Test/Portfolio
421,AD215,Visual Culture,338.0,338.0,,
422,AD217,Illustration,,,Test/Portfolio,Test/Portfolio
423,AD222,Interaction Design,,,Test/Portfolio,Test/Portfolio
424,NC003,Computing (Degree Award options),316.0,316.0,,
425,NC005,Human Resource Management,320.0,320.0,,
426,NC009,Business,339.0,339.0,,
427,NC010,Psychology,399.0,399.0,,
428,NC020,Marketing Practice,307.0,307.0,,
429,NC022,Accounting and Finance,376.0,376.0,,
430,NC023,Technology Management (with specialisations),303.0,303.0,,
431,NC025,Data Science,371.0,371.0,,
432,RC001,Medicine - Undergraduate Entry (HPAT required),733.0,733.0,Test/Portfolio,Test/Portfolio
433,RC004,Physiotherapy,542.0,542.0,Randomly Selected,Randomly Selected
434,RC005,Pharmacy,566.0,566.0,,
435,RC101,Medicine - Graduate Entry (GAMSAT required),62.0,62.0,Test/Portfolio,Test/Portfolio
436,TR002,Music,473.0,473.0,Test/Portfolio,Test/Portfolio
437,TR003,History,518.0,518.0,,
438,TR004,Law,552.0,552.0,,
439,TR005,Philosophy,446.0,446.0,,
440,TR006,Psychology,577.0,577.0,Randomly Selected,Randomly Selected
441,TR007,Clinical Speech and Language Studies,529.0,529.0,,
442,TR009,Music Education,465.0,465.0,Test/Portfolio,Test/Portfolio
443,TR012,History and Political Science,557.0,557.0,Randomly Selected,Randomly Selected
444,TR015,"Philosophy, Political Science, Economics and Sociology",577.0,577.0,,
445,TR016,Deaf Studies,372.0,372.0,,
446,TR017,Law and Business,589.0,589.0,,
447,TR018,Law and French,554.0,554.0,Randomly Selected,Randomly Selected
448,TR019,Law and German,555.0,555.0,,
449,TR020,Law and Political Science,600.0,600.0,,
450,TR021,"Classics, Ancient History and Archaeology",495.0,495.0,,
451,TR022,Early and Modern Irish,407.0,407.0,,
452,TR023,English Studies,511.0,511.0,,
453,TR024,European Studies,544.0,544.0,,
454,TR025,Drama and Theatre Studies,531.0,531.0,Test/Portfolio,Test/Portfolio
455,TR028,Ancient and Medieval History and Culture,451.0,451.0,,
456,TR029,Political Science and Geography,500.0,500.0,,
457,TR031,Mathematics,589.0,589.0,,
458,TR032,Engineering,520.0,520.0,Randomly Selected,Randomly Selected
459,TR033,Computer Science,488.0,488.0,Randomly Selected,Randomly Selected
460,TR034,Management Science and Information Systems Studies,602.0,602.0,Randomly Selected,Randomly Selected
461,TR035,Theoretical Physics,601.0,601.0,,
462,TR038,Engineering with Management,543.0,543.0,,
463,TR039,Computer Science and Language,498.0,498.0,,
464,TR040,Middle Eastern and European Languages and Cultures,518.0,518.0,,
465,TR041,Religion,393.0,393.0,,
466,TR051,Medicine (HPAT required),739.0,739.0,Test/Portfolio,Test/Portfolio
