,Code,Course Title,Round 1 Points,Round 2 Points,EOS Points,Mid Point
193,CR130,Musical Theatre at CIT Cork School of Music,548.0,518.0,505.0,600.0
194,CR150,Business Information Systems,335.0,,335.0,391.0
195,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",,,,
196,CR220,Fine Art at CIT Crawford College of Art and Design,,,,
197,CR225,Photography with New Media,,,,
199,CR305,Physical Sciences (Common Entry),282.0,,282.0,356.0
200,CR310,IT Management,297.0,,297.0,339.0
201,CR320,Biomedical Science - Offered jointly by CIT and UCC,565.0,,565.0,577.0
202,CR325,Pharmaceutical Biotechnology,398.0,,398.0,440.0
203,CR333,Nutrition and Health Science,402.0,,402.0,433.0
204,CR335,Biological Sciences (Common Entry),420.0,,420.0,451.0
205,CR340,Analytical Chemistry with Quality Assurance,251.0,,251.0,366.0
206,CR360,Instrument Engineering,261.0,,261.0,388.0
207,CR365,Environmental Science and Sustainable Technology,253.0,,253.0,341.0
208,CR370,Agri-Biosciences,397.0,,397.0,453.0
209,CR400,Accounting,316.0,,316.0,413.0
210,CR420,Marketing,285.0,,285.0,346.0
211,CR425,International Business with Language,298.0,,298.0,412.0
212,CR430,Sport and Exercise Management,322.0,,322.0,407.0
213,CR440,Montessori Education,288.0,,288.0,362.0
214,CR500,Engineering (Common Entry),411.0,,411.0,465.0
215,CR510,Sustainable Energy Engineering,320.0,,320.0,389.0
216,CR520,Biomedical Engineering,444.0,,444.0,488.0
217,CR560,Architectural Technology,308.0,,308.0,377.0
218,CR565,Interior Architecture,359.0,,359.0,423.0
219,CR570,Quantity Surveying,336.0,,336.0,392.0
220,CR572,Construction Management,269.0,,269.0,318.0
221,CR580,Electrical Engineering,318.0,,318.0,377.0
222,CR590,Electronic Engineering,303.0,,303.0,379.0
223,CR600,Visual Communications,,,,
229,CR660,Tourism Management,252.0,,252.0,325.0
230,CR700,Theatre and Drama Studies at CIT Cork School of Music,740.0,645.0,645.0,982.0
235,CT125,Information Technology,220.0,,220.0,299.0
236,CT325,Business,338.0,,281.0,338.0
238,CW018,Business (options),298.0,248.0,248.0,312.0
240,CW028,Early Childhood Education and Care,252.0,,252.0,301.0
242,CW038,Art (portfolio),700.0,,700.0,700.0
245,CW058,Tourism and Event Management,298.0,,298.0,348.0
246,CW068,Applied Social Studies in Professional Social Care,245.0,,245.0,292.0
248,CW078,Sustainable Farm Management and Agribusiness,269.0,,269.0,327.0
249,CW088,Visual Communications and Design,274.0,,274.0,340.0
252,CW108,Science (options),261.0,,261.0,346.0
256,CW128,Brewing and Distilling,263.0,,263.0,318.0
257,CW138,Sport and Exercise Science,423.0,,423.0,444.0
258,CW148,Strength and Conditioning,379.0,,379.0,400.0
259,CW188,Sport Rehabilitation and Athletic Therapy,451.0,448.0,448.0,466.0
262,CW208,Computer Games Development,279.0,,279.0,327.0
266,CW238,Software Development,297.0,,297.0,341.0
267,CW248,Information Technology Management,285.0,,285.0,385.0
268,CW258,Cybercrime and IT Security,293.0,,293.0,358.0
269,CW268,Computing in Interactive Digital Art and Design,287.0,,287.0,369.0
273,CW438,Construction (options),272.0,,272.0,336.0
274,CW468,Architectural Technology,262.0,,262.0,358.0
275,CW478,Civil Engineering,433.0,,433.0,492.0
280,CW548,Mechanical Engineering,321.0,,321.0,371.0
281,CW558,Electronic Systems,280.0,,280.0,361.0
282,CW568,Aerospace Engineering,380.0,,380.0,442.0
283,CW578,TV and Media Production,325.0,,325.0,420.0
286,CW708,Law - LLB,302.0,,302.0,349.0
288,CW728,Product Design Innovation,252.0,,252.0,359.0
289,CW748,Early Childhood Education and Care,270.0,,270.0,327.0
290,CW758,Professional Social Care Practice,336.0,,336.0,358.0
292,CW808,Media and Public Relations,251.0,,251.0,298.0
296,CW848,Digital Marketing with Analytics,254.0,,269.0,326.0
297,CW858,"Sports Management and Coaching (options, portfolio)",700.0,,700.0,700.0
299,CW908,Business (options),280.0,,280.0,357.0
303,CW938,Business with Law,283.0,,283.0,301.0
304,CW948,Accounting,300.0,,300.0,364.0
305,DB500,Computing,218.0,218.0,218.0,301.0
306,DB501,Computing (Cloud Computing),227.0,227.0,227.0,280.0
307,DB502,Computing (Data Analytics and Big Data),341.0,341.0,334.0,377.0
308,DB503,Computing (Software Development),225.0,225.0,225.0,281.0
309,DB504,Computing (Web and Mobile Technology),,281.0,281.0,281.0
310,DB510,Audio Production and Music Project Management,234.0,223.0,223.0,290.0
311,DB512,Business Studies,218.0,203.0,203.0,308.0
312,DB514,Business Studies (Law),252.0,,251.0,270.0
313,DB515,Business Studies (Human Resource Management),244.0,244.0,244.0,326.0
314,DB516,Financial Services,,,,
315,DB517,Marketing (Event Management),238.0,,238.0,309.0
316,DB521,Accounting and Finance,225.0,195.0,195.0,318.0
317,DB524,Business (Information Systems),342.0,309.0,309.0,409.0
318,DB526,Business (Cloud Computing),347.0,,347.0,423.0
319,DB527,Applied Social Care,234.0,260.0,234.0,306.0
321,DB531,Marketing,293.0,,293.0,336.0
323,DB562,Psychology,243.0,229.0,229.0,322.0
325,DB566,Social Science,220.0,227.0,220.0,290.0
326,DB567,Film and Creative Media,218.0,202.0,202.0,290.0
327,DB568,Law,219.0,252.0,217.0,309.0
328,DB569,Business (Psychology),252.0,,252.0,284.0
334,DC001,Education - Early Childhood Education,440.0,,440.0,462.0
335,DC002,Education - Primary Teaching,488.0,,488.0,520.0
336,DC003,Education - Primary Teaching - Gaeltacht Applicants,445.0,,445.0,462.0
337,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),411.0,409.0,409.0,463.0
338,DC009,Arts (Joint Honours) - Humanities,376.0,,376.0,423.0
339,DC010,Post Primary Teacher Education - Religious Education and English,441.0,429.0,429.0,465.0
340,DC011,Post Primary Teacher Education - Religious Education and History,412.0,391.0,391.0,429.0
341,DC012,Post Primary Teacher Education - Religious Education and Music,378.0,,378.0,420.0
342,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419.0,,419.0,487.0
343,DC014,BA in Jazz and Contemporary Music Performance (audition),419.0,,419.0,605.0
344,DC110,Business Studies International,465.0,,465.0,488.0
345,DC111,Business Studies,488.0,,488.0,507.0
346,DC112,Global Business (France),517.0,510.0,510.0,532.0
347,DC113,Global Business (Germany),462.0,,462.0,496.0
348,DC114,Global Business (Spain),522.0,,522.0,545.0
349,DC115,Accounting and Finance,510.0,,510.0,544.0
350,DC116,Global Business (USA),579.0,,579.0,601.0
351,DC117,Aviation Management / Aviation Management with Pilot Studies,476.0,475.0,475.0,500.0
352,DC118,Gnó agus Gaeilge / Business and Irish,359.0,,359.0,429.0
353,DC119,Global Business (Canada),564.0,,564.0,577.0
354,DC120,Enterprise Computing,357.0,,357.0,392.0
355,DC121,Computer Applications,400.0,,400.0,455.0
356,DC123,Data Science,465.0,,465.0,531.0
357,DC126,Actuarial Mathematics,560.0,,560.0,578.0
358,DC127,Common Entry into Actuarial and Financial Mathematics,532.0,520.0,520.0,543.0
359,DC131,Communication Studies,407.0,402.0,402.0,451.0
360,DC132,Journalism,429.0,422.0,422.0,466.0
361,DC133,Multimedia,411.0,410.0,410.0,451.0
362,DC155,Applied Language and Translation Studies,387.0,,387.0,444.0
363,DC161,Analytical Science,498.0,489.0,489.0,510.0
364,DC162,Chemical and Pharmaceutical Sciences,521.0,,521.0,544.0
365,DC166,Environmental Science and Technology,433.0,399.0,399.0,441.0
366,DC168,Genetics and Cell Biology,512.0,510.0,510.0,529.0
367,DC175,Physics General Entry (options),419.0,402.0,402.0,467.0
368,DC181,Biotechnology,499.0,495.0,495.0,511.0
369,DC190,Electronic and Computer Engineering (with choice of four majors),413.0,,413.0,465.0
370,DC193,Mechatronic Engineering,411.0,,411.0,487.0
371,DC195,Mechanical and Manufacturing Engineering,425.0,,425.0,487.0
372,DC197,Biomedical Engineering,423.0,,423.0,477.0
373,DC200,Common Entry into Engineering (Undenominated Entry),422.0,,422.0,487.0
374,DC201,Common Entry into Science (Undenominated Entry),498.0,488.0,488.0,499.0
375,DC202,Sport Science and Health,500.0,498.0,498.0,521.0
376,DC203,Science Education,435.0,,435.0,487.0
377,DC204,Athletic Therapy and Training,522.0,519.0,519.0,533.0
378,DC205,Physical Education with Biology,531.0,,531.0,553.0
379,DC206,Physical Education with Mathematics,499.0,,499.0,520.0
380,DC208,Psychology,532.0,521.0,521.0,533.0
381,DC209,Health and Society,465.0,440.0,440.0,466.0
382,DC215,General Nursing,454.0,433.0,433.0,462.0
383,DC216,Mental Health Nursing,418.0,403.0,403.0,424.0
384,DC217,Intellectual Disability Nursing,370.0,,370.0,390.0
385,DC218,Children`s and General Nursing (Integrated),500.0,498.0,498.0,522.0
386,DC230,"Economics, Politics and Law",435.0,,435.0,462.0
387,DC231,International Relations,397.0,,397.0,433.0
388,DC232,Law and Society (BCL),466.0,,466.0,496.0
389,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309.0,,309.0,357.0
390,DC238,Social Sciences and Cultural Innovation,377.0,,377.0,411.0
391,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430.0,,430.0,473.0
392,DC240,"Marketing, Innovation and Technology",476.0,474.0,474.0,498.0
393,DC291,Arts (Joint Honours) - Media Studies,376.0,,376.0,409.0
394,DC292,Arts (Joint Honours) - Law,403.0,,403.0,430.0
395,DC293,Arts (Joint Honours) - International Languages,377.0,,377.0,466.0
396,DC295,Arts (Joint Honours) - Politics,376.0,,376.0,409.0
420,DK810,Accounting and Finance,305.0,305.0,305.0,401.0
421,DK816,Business Studies,300.0,300.0,300.0,367.0
422,DK820,Computing in Games Development,311.0,311.0,311.0,348.0
423,DK821,Computing in Software Development,302.0,302.0,302.0,361.0
424,DK822,Augmented and Virtual Reality,307.0,,304.0,380.0
425,DK830,Building Surveying,336.0,,336.0,352.0
426,DK831,Architectural Technology,389.0,,389.0,433.0
427,DK832,Construction Management,387.0,,387.0,419.0
428,DK843,Engineering (Common Entry),340.0,340.0,340.0,439.0
429,DK844,Mechanical Engineering,305.0,305.0,305.0,448.0
430,DK845,Electrical & Electronic Engineering,304.0,304.0,304.0,392.0
431,DK846,Civil Engineering,391.0,361.0,361.0,392.0
432,DK850,International Tourism Management,317.0,317.0,317.0,377.0
433,DK860,Music (audition),532.0,532.0,503.0,634.0
434,DK861,Arts,302.0,302.0,302.0,363.0
435,DK862,Social Care,301.0,,301.0,347.0
436,DK863,Creative Media,308.0,308.0,308.0,337.0
437,DK864,Film and Television Production,300.0,300.0,300.0,402.0
438,DK865,Audio and Music Production,301.0,,301.0,367.0
439,DK870,General Nursing,403.0,401.0,397.0,419.0
440,DK872,Intellectual Disability Nursing,336.0,,336.0,358.0
441,DK874,Mental Health Nursing,356.0,,356.0,379.0
442,DK876,Early Childhood Studies,321.0,,321.0,388.0
443,DK877,Midwifery,440.0,,440.0,470.0
444,DK880,Health and Physical Activity,328.0,,328.0,389.0
445,DK882,Agriculture (Award options),310.0,,310.0,380.0
446,DK883,Science (Award options),358.0,321.0,300.0,370.0
447,DK884,Sustainable Agriculture,,,,
448,DK885,Agri-Food Production,,,,
449,DK886,Biopharmaceutical Science,301.0,,301.0,338.0
450,DK887,Environmental Science,330.0,,330.0,589.0
452,DL821,"English, Media and Cultural Studies",212.0,212.0,212.0,347.0
453,DL822,Arts Management,229.0,229.0,235.0,337.0
454,DL823,Business Management,235.0,,237.0,325.0
455,DL825,Applied Psychology,379.0,,379.0,434.0
456,DL826,Visual Communication Design,855.0,,855.0,1024.0
457,DL827,Art,572.0,,572.0,941.0
458,DL828,"3D Design, Modelmaking and Digital Art",506.0,,538.0,920.0
459,DL829,Design for Stage and Screen (Costume Design),593.0,,593.0,947.0
460,DL830,Design for Stage and Screen (Character Makeup Design),939.0,,939.0,968.0
461,DL831,Design for Stage and Screen (Production Design),781.0,,781.0,1026.0
462,DL832,Animation,920.0,,920.0,1022.0
463,DL833,Photography,650.0,,667.0,854.0
464,DL834,Film and Television Production,990.0,,990.0,1040.0
465,DL836,Creative Computing,219.0,,219.0,300.0
466,DL837,New Media Studies,201.0,,201.0,316.0
467,DL838,Creative Music Production,754.0,,754.0,972.0
468,DL839,Interaction and User Experience Design,683.0,683.0,683.0,990.0
469,DL840,Digital Marketing,228.0,228.0,228.0,327.0
470,DL841,English and Equality Studies,276.0,,276.0,341.0
471,DN100,Architecture,510.0,,510.0,541.0
472,DN120,Landscape Architecture,407.0,,407.0,453.0
473,DN130,City Planning and Environmental Policy,407.0,400.0,390.0,432.0
474,DN150,Engineering (Common Entry),531.0,521.0,520.0,565.0
475,DN200,Science (options),533.0,,533.0,567.0
476,DN201,Computer Science (Common Entry),510.0,,510.0,542.0
477,DN230,Actuarial and Financial Studies,601.0,,601.0,613.0
478,DN240,Sustainability,440.0,,440.0,498.0
479,DN250,Agricultural Science (options),456.0,455.0,453.0,488.0
480,DN252,Dairy Business,410.0,,410.0,455.0
481,DN253,Agri - Environmental Sciences,418.0,,413.0,443.0
482,DN261,Food Science,477.0,,476.0,495.0
483,DN262,Human Nutrition,531.0,,531.0,553.0
484,DN271,Forestry,311.0,,311.0,359.0
485,DN272,"Horticulture, Landscape and Sportsturf Management",297.0,282.0,282.0,378.0
486,DN300,Veterinary Medicine - Undergraduate Entry,589.0,,589.0,602.0
487,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,,
488,DN310,Veterinary Nursing,478.0,477.0,466.0,489.0
489,DN400,Medicine - Undergraduate Entry (HPAT required),737.0,736.0,736.0,748.0
490,DN401,Medicine - Graduate Entry (GAMSAT required),,,58.0,61.0
491,DN410,Radiography,534.0,532.0,531.0,543.0
492,DN411,Radiography - Graduate Entry,,,,
493,DN420,Physiotherapy,578.0,577.0,568.0,589.0
494,DN425,Health and Performance Science,510.0,509.0,507.0,521.0
495,DN430,Sport and Exercise Management,455.0,445.0,433.0,455.0
496,DN440,"Biomedical, Health and Life Sciences",590.0,589.0,589.0,601.0
497,DN450,General Nursing,429.0,424.0,421.0,445.0
498,DN451,Children`s and General Nursing (Integrated),509.0,506.0,499.0,529.0
499,DN452,Midwifery,489.0,476.0,473.0,499.0
500,DN453,Mental Health Nursing,397.0,393.0,393.0,412.0
501,DN520,Joint Honours (options),310.0,,310.0,409.0
502,DN530,Humanities (options),340.0,336.0,326.0,419.0
503,DN541,Modern Languages (options),303.0,,300.0,443.0
504,DN600,Law (options),546.0,544.0,543.0,566.0
505,DN610,Business and Law,545.0,,544.0,577.0
506,DN650,Commerce,521.0,521.0,521.0,543.0
507,DN660,Commerce International (options),517.0,511.0,510.0,531.0
508,DN670,Economics and Finance,613.0,,613.0,625.0
509,DN700,Social Sciences (options),421.0,419.0,418.0,466.0
510,DN710,Economics,498.0,498.0,498.0,510.0
511,DN720,Psychology,530.0,522.0,522.0,543.0
512,DN750,Social Policy and Sociology,378.0,,377.0,408.0
524,GA181,Accounting,309.0,,309.0,403.0
525,GA182,Business,287.0,,287.0,347.0
526,GA183,Business Information Systems,296.0,,296.0,356.0
527,GA184,Marketing and Sales,307.0,,307.0,357.0
528,GA185,Finance and Economics,293.0,,293.0,392.0
529,GA186,Business with Entrepreneurship,280.0,,280.0,356.0
530,GA187,Rural Enterprise and Agri-Business,281.0,,281.0,352.0
534,GA281,Film and Documentary,304.0,,304.0,379.0
535,GA282,Heritage Studies,220.0,,220.0,281.0
536,GA283,Contemporary Art,679.0,,679.0,870.0
537,GA284,Design,303.0,,303.0,356.0
538,GA285,"Education (Art, Design and Graphics)",,,,
547,GA380,International Hotel Management,242.0,,242.0,330.0
548,GA381,International Tourism Management,278.0,,278.0,350.0
549,GA382,Culinary and Gastronomic Science,206.0,,206.0,337.0
550,GA384,Event Management with Public Relations,212.0,,212.0,328.0
555,GA480,Construction Management,260.0,,260.0,336.0
556,GA482,Quantity Surveying and Construction Economics,288.0,,288.0,350.0
557,GA483,Architectural Technology,265.0,,265.0,337.0
558,GA484,Civil Engineering,290.0,,290.0,383.0
560,GA580,Software and Electronic Engineering,300.0,,300.0,393.0
567,GA680,Mechanical Engineering,330.0,,330.0,401.0
568,GA681,Energy Engineering,293.0,,293.0,366.0
569,GA682,Biomedical Engineering,313.0,,313.0,393.0
570,GA683,Agricultural Engineering,309.0,,309.0,385.0
571,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340.0,,340.0,405.0
572,GA685,Manufacturing Engineering Design,309.0,,309.0,379.0
581,GA780,Applied Freshwater and Marine Biology,327.0,,327.0,377.0
582,GA781,Applied Biology and Biopharmaceutical Science,337.0,,337.0,390.0
583,GA782,Chemical and Pharmaceutical Science,336.0,,336.0,388.0
584,GA783,Physics and Instrumentation,363.0,,363.0,408.0
585,GA784,Science (Undenominated),372.0,,372.0,403.0
586,GA785,Medical Science,473.0,,473.0,500.0
587,GA786,Forensic Science and Analysis,317.0,,317.0,387.0
588,GA787,Computing in Software Development,270.0,,270.0,315.0
589,GA788,Computing and Digital Media,274.0,,282.0,356.0
590,GA789,Agriculture and Environmental Management,287.0,,289.0,371.0
591,GA790,Sport and Exercise Science,356.0,,356.0,409.0
592,GA791,Public Health Nutrition,368.0,,368.0,409.0
599,GA880,General Nursing,429.0,422.0,422.0,441.0
600,GA882,Psychiatric Nursing,367.0,,367.0,377.0
601,GA885,Outdoor Education,252.0,,252.0,262.0
602,GA887,History and Geography,244.0,,244.0,380.0
603,GA889,Applied Social Care,266.0,,266.0,298.0
604,GA890,Early Childhood Education and Care,270.0,,270.0,327.0
605,GA891,Geography and Outdoor Education,244.0,,244.0,391.0
607,GA980,Education (Design Graphics and Construction),377.0,,377.0,411.0
608,GA984,"Furniture Design, Making and Technology - Common Entry",284.0,,284.0,369.0
610,GC200,Business Studies,252.0,252.0,252.0,369.0
611,GC201,Accounting and Finance,303.0,303.0,303.0,388.0
612,GC230,Computing Science,335.0,325.0,325.0,393.0
613,GC250,Communications and Media Production,,,,
614,GC300,Business Studies,429.0,,390.0,432.0
615,GC301,Accounting & Finance,253.0,253.0,253.0,346.0
616,GC302,Business Studies - HRM,,,,
617,GC305,International Hospitality Management,253.0,253.0,253.0,253.0
620,GC400,Business Studies,248.0,248.0,248.0,281.0
621,GC401,Accounting and Finance,240.0,227.0,202.0,343.0
622,GC402,Business Studies (HRM),264.0,236.0,218.0,236.0
623,GC403,Law,244.0,228.0,228.0,328.0
624,GC407,Business Studies (Marketing),280.0,280.0,218.0,321.0
627,GC430,Computing Science,252.0,220.0,220.0,298.0
629,GC450,Communications and Media Production,254.0,254.0,254.0,280.0
631,GC462,Design Communication (portfolio),,,,
636,GC489,Interior Architecture (portfolio),254.0,,254.0,301.0
638,GC494,Fashion Design (portfolio),337.0,217.0,217.0,412.0
640,GY101,Arts (Joint-Honours),300.0,,300.0,391.0
641,GY104,Arts (Psychology),523.0,520.0,519.0,542.0
642,GY105,Arts (History),301.0,,301.0,377.0
643,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409.0,,409.0,456.0
644,GY109,Arts (Mathematics and Education),403.0,,403.0,466.0
645,GY110,Arts with Children`s Studies,357.0,,357.0,418.0
